"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","940","940","1040","1100","1250","1290","1530","1640","1720","2030","2080","2000","1990",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2070","2690","1750","1300","1040","1730","2030","2320","2370","2280","2480","2580","2480","2600","2840","3290","3930","4910","5270","5720","5740","5920","6020","6390","6580","6450",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2750","1970","1840","2150","2420","2860","3210","2930","3270","3770","4160","4650","4900","5320","5790","6320","7270","7870","8810","9190","9210","9610","10280","10440","11030","11140",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6725.50500742995","6556.37377578815","6919.57952926852","7147.11563087703","7269.01802755939","7413.71866220546","7714.33387785849","8051.80623354996","8511.00356362215","8704.14339487686","9055.58255472344","9290.52297766698","9253.99381772321","9529.06028188891","10529.0860937515","11313.6929953153","12266.4316547576","13048.7048171703","13778.9831035936","13744.6228763465","14084.0075083604","14442.526330155","15371.6522666328","15752.0424358535","16033.4136298736","16445.6380434833",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87630","83060","85530","88260","85690","84520","77880","69960","59850","56230","57610","61220","64310","68030","70570",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2220","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3120","3630","4120","4910","5790","6830","7520","6410","6690","7050","7700","8110","8490","8720",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
